"A2";"A3";"A4";"A5";"A6";"A11";"A12";"A13";"A14";"A15";"A16"
18,25;10;"u";"g";"w";1;"f";"g";120;1;"-"
18,67;5;"u";"g";"q";2;"f";"g";0;38;"-"
51,83;2,04;"y";"p";"ff";0;"f";"g";120;1;"-"
29,42;1,25;"u";"g";"c";2;"t";"g";400;108;"-"
33,58;0,335;"y";"p";"cc";0;"f";"g";180;0;"-"
25;12,33;"u";"g";"cc";6;"f";"g";400;458;"+"
36,67;2;"u";"g";"i";0;"t";"g";221;0;"-"
19,67;0,21;"u";"g";"q";11;"f";"g";80;99;"+"
15,83;0,585;"u";"g";"c";2;"f";"g";100;0;"+"
28;3;"u";"g";"w";0;"t";"g";300;67;"-"
39,08;6;"u";"g";"m";5;"t";"g";108;1097;"+"
23,42;1;"u";"g";"c";0;"t";"s";280;0;"-"
15,17;7;"u";"g";"e";0;"f";"g";600;0;"-"
19;1,75;"y";"p";"c";0;"t";"g";112;6;"-"
59,5;2,75;"u";"g";"w";5;"t";"g";60;58;"+"
31,42;15,5;"u";"g";"c";0;"f";"g";120;0;"-"
42,08;1,04;"u";"g";"w";6;"t";"g";500;10000;"+"
39,08;4;"u";"g";"c";0;"f";"g";480;0;"-"
23,42;0,585;"u";"g";"c";0;"f";"g";180;0;"-"
32,83;2,5;"u";"g";"cc";6;"f";"g";160;2072;"+"
35,17;3,75;"u";"g";"ff";6;"f";"g";0;200;"-"
30,58;10,665;"u";"g";"q";12;"t";"g";129;3;"-"
23,25;1;"u";"g";"c";0;"f";"s";300;0;"+"
19,42;6,5;"u";"g";"w";7;"f";"g";80;2954;"+"
33,25;2,5;"y";"p";"c";0;"t";"g";0;2;"-"
27,75;1,29;"u";"g";"k";0;"t";"s";140;0;"-"
39,83;0,5;"u";"g";"m";0;"f";"s";288;0;"-"
18,42;10,415;"y";"p";"aa";0;"f";"g";120;375;"-"
33,08;1,625;"u";"g";"d";0;"t";"g";0;0;"-"
21,5;9,75;"u";"g";"c";0;"f";"g";140;0;"-"
33,17;1,04;"u";"g";"r";0;"t";"g";164;31285;"+"
34,75;2,5;"u";"g";"cc";0;"f";"g";348;0;"-"
20,67;1,25;"y";"p";"c";3;"t";"g";140;210;"-"
23,5;1,5;"u";"g";"w";0;"t";"g";160;0;"-"
29,67;0,75;"y";"p";"c";0;"f";"g";240;0;"-"
59,67;1,54;"u";"g";"q";0;"t";"g";260;0;"+"
20;0;"u";"g";"d";0;"f";"g";144;0;"-"
44,33;0;"u";"g";"c";0;"f";"g";0;0;"+"
32,92;2,5;"u";"g";"aa";2;"t";"g";720;0;"-"
19,17;8,585;"u";"g";"cc";7;"f";"g";96;0;"+"
28,25;5,125;"u";"g";"x";2;"f";"g";420;7;"+"
43,17;5;"u";"g";"i";0;"t";"g";141;0;"-"
34;4,5;"u";"g";"aa";0;"t";"g";240;0;"-"
39,92;0,54;"y";"p";"aa";3;"f";"g";200;1000;"+"
25,33;0,58;"u";"g";"c";7;"t";"g";96;5124;"+"
45,17;1,5;"u";"g";"c";0;"t";"g";140;0;"-"
23,08;2,5;"u";"g";"c";11;"t";"g";60;2184;"+"
68,67;15;"u";"g";"e";14;"f";"g";0;3376;"+"
22,17;0,585;"y";"p";"ff";0;"f";"g";100;0;"-"
33,75;2,75;"u";"g";"i";0;"f";"g";180;0;"-"
18,5;2;"u";"g";"i";2;"f";"g";120;300;"+"
25,67;2,21;"y";"p";"aa";0;"f";"g";188;0;"-"
18,83;9,54;"u";"g";"aa";0;"f";"g";100;0;"+"
18,92;9;"u";"g";"aa";2;"f";"g";88;591;"+"
16,33;4,085;"u";"g";"i";0;"t";"g";120;0;"-"
16,08;0,75;"u";"g";"c";5;"t";"g";352;690;"+"
23,42;0,79;"y";"p";"q";2;"t";"g";80;400;"+"
20,08;1,25;"u";"g";"c";0;"f";"g";0;0;"-"
25;11;"y";"p";"aa";0;"f";"g";120;0;"-"
21,75;11,75;"u";"g";"c";0;"t";"g";180;0;"-"
22,83;3;"u";"g";"m";1;"f";"g";260;800;"+"
47,42;8;"u";"g";"e";6;"f";"g";375;51100;"+"
27;1,5;"y";"p";"w";0;"t";"g";260;1065;"+"
50,08;12,54;"u";"g";"aa";3;"t";"g";156;0;"+"
28,5;1;"u";"g";"q";2;"t";"g";167;500;"-"
26,08;8,665;"u";"g";"aa";0;"f";"g";160;150;"+"
32,75;2,335;"u";"g";"d";0;"t";"g";292;0;"-"
32,25;0,165;"y";"p";"c";1;"t";"g";432;8000;"+"
33,5;1,75;"u";"g";"x";4;"t";"g";253;857;"+"
25,5;0,375;"u";"g";"m";3;"f";"g";260;15108;"+"
31,25;2,835;"u";"g";"ff";5;"f";"g";176;146;"-"
28;2;"u";"g";"k";2;"t";"g";181;0;"+"
34,08;6,5;"u";"g";"aa";0;"t";"g";443;0;"-"
40,92;2,25;"y";"p";"x";0;"t";"g";176;0;"-"
58,58;2,71;"u";"g";"c";0;"t";"g";320;0;"-"
42,83;1,25;"u";"g";"m";1;"t";"g";352;112;"-"
28,67;9,335;"u";"g";"q";6;"f";"g";381;168;"+"
